link,name,time,空间评分,空间,驾驶感受评分,驾驶感受,续航评分,续航,外观评分,外观,内饰评分,内饰,性价比评分,性价比,智能化评分,智能化,其他评分,其他
https://k.autohome.com.cn/detail/view_01hgnab4f16ms36chj68r00000.html#pvareaid=2112108,单身求解放m,2023-12-02,5,用一个词总结就是通透，车子轴距非常给力，车里面就更宽敞了，最主要的是前后排设计合理，不管坐哪里都很舒服。,5,弯道性能非常强，高速过弯依旧很稳，照样可以按照预定轨道行驶，一般的车子和它完全没法比。,4,续航电耗什么都还行，主要是充电太慢，等得比较着急，很烦。,5,轿跑式设计，低趴车头，无框车门，隐藏门把手，时尚要素太多了。,4,用料不错，但是缺少豪华感，反正风格呢比较简单，总体不错。,5,这车子优点还是很突出的，驾控方面堪称完美，这个价格呢也还好。,5,高科技芯片，L2级辅助驾驶，还有内置行车记录仪，超灵敏的语音操控等等，都很好用。,,
https://k.autohome.com.cn/detail/view_01hgn7drse6ms36chh74t00000.html#pvareaid=2112108,迅速赶到渡,2023-12-02,4,在车身尺寸上，有比较大的优势，坐到车里也是感觉很自由，就是储物能力有待提高，储物格要是多一点就好了。,5,200千瓦的输出功率，加速表现十分优秀，直线加速特别猛，而且车子还采用50：50轴荷比，车身承重更加均衡，稳定性更为出色，在转向过弯的时候，有着更好的掌控力。,5,这方面我一点不担心，平时都是在周边开开，也不出远门，这个续航没啥担心的，平时充电方便，我自己装了一个充电桩，电费不高。,5,颜值很顶啊，看过一遍就印象很深刻了，很高级，车身线条犀利，有运动风，轿跑风格妥妥拉满，很赞。,4,车内看着高级，大屏幕滑动流畅不卡，不过感觉座椅柔软度差点意思，倒是挺有支撑力的。,4,价格有一点虚高了，但车子本身就比较优秀，所以价格勉强接受吧。,5,这个价格在配置就十分齐全了，各种硬件应有尽有啊，光摄像头就12个，各种驾驶功能也是都很齐全，自动泊车好用，找准车位自己就停进去了，自己一点不用费心，也不担心自己的技术了。,,
https://k.autohome.com.cn/detail/view_01hgj9thcf6ms36c9n6mvg0000.html#pvareaid=2112108,花好月亮翟,2023-12-01,4,感觉头部空间比较一般吧，这种低趴式的跑车造型，车顶是有点矮的。,5,现在宝马的车子就主打一个50：50轴荷比，而这款极星4也毫不逊色，稳定性超棒，过弯更加简单，自从开了这辆车，在驾驶上也越来越享受了。,5,既然都买了这车子，对电耗方面其实也没那么关注了，目前购车时间短，根本看不出什么。,4,初次见面有一种一见钟情的感觉，但后面一直看反而就觉得魅力不足，风格不够大气。,5,内饰配置多，用料也讲究，环保低碳，舒适性好。,5,平时我和媳妇都挺喜欢这车子，还从来没有觉得后悔，这种驾驶趣味性是很多车子都没有的。,5,辅助驾驶配置超级实用，难怪驾驶体验这么爽，每次开车外出心情都特别好。,,
https://k.autohome.com.cn/detail/view_01hgfp1bwr6ms36c1q68v00000.html#pvareaid=2112108,往往事情e,2023-11-30,5,车内空间十分充足，主要是前后排空间分配不错，坐前面或者坐后面都是很舒服的。,5,有高强抗扭设计和CDC电磁悬架，确实给驾驶增加了几分趣味性，又有舒适的操控体验，又能保证安全性，想怎么开就怎么开，完全没有后顾之忧。,4,车子续航里程其实比较真实，但是呢电耗确实不低，也可能是刚购车不久的缘故。,4,外观造型就像是跑车一样，真的非常漂亮，我第一眼就特别心动，但是呢车尾设计感觉不够好，和车头前脸部分有些差距。,5,第一次看到这个内饰的时候，就感觉特别豪华，主要是做工好，用料环保，档次不一般。,4,购车优惠不太行，车子落地还是贵了点，不过无所谓，我还是很喜欢。,5,L2级辅助驾驶，高智能芯片，大尺寸中控屏和仪表盘，科技感十足。,,
https://k.autohome.com.cn/detail/view_01hgfma9ry6ms36c1p74s00000.html#pvareaid=2112108,安利科技的,2023-11-30,4,我对车子空间的要求会比较高，这款极星4的空间确实够用了，但是呢算不上特别宽敞。,5,车子驾驶上的乐趣主要在于弯道行驶又快又稳，一般不会偏离预定的行驶轨道，也基本不会出现侧倾太大的情况。,4,现在天气还算暖和，续航还可以，但估计到了天冷的时候，续航折损就比较大了。,5,不得不说车子颜值确实可以，时尚前卫，质感突出，个性拉满。,4,材质用料不错，无异响无异味，但是呢比较容易脏。,5,就说这车，要啥有啥，各方面都让我挺满意的，驾驶安全，颜值又高，还环保，在我心里对它很满意。,5,买车之前就看了下配置，真的惊讶到了，该有的都有，一坐进车里，就能感受到一股豪华和科技感。,,
https://k.autohome.com.cn/detail/view_01hpesf4c96ms3jd1q68v00000.html#pvareaid=2112108,别亦,2024-02-12,5,喜欢我这款车的空间，不仅仅前排宽敞，而且车子的后排也是很宽敞的，包括它的这个后备箱也很能装。,5,在驾驶方面，它给我留下了非常深刻的印象，它的悬挂系统非常出色，行驶过程中能够保持较好的稳定性，给我一种安全感。此外，它的操控性能也非常出色，转向灵活准确，使我能够更好地掌控整个车辆。,4,有一说一，我这款车的电耗还是蛮高的，算下来都要19个多，不过充电倒是很方便。,5,它的外观设计也是我购买它的一大原因，它的外观简约而不简单，线条流畅，给我一种时尚的感觉，前脸采用了简洁的设计，配合镀铬装饰，显得非常大气，整车的比例非常协调，无论从哪个角度看都非常好看。,5,进入它的内饰，我马上感受到了它的豪华和舒适，车厢内氛围非常温馨，在细节方面做工精细，充满了豪华感，座椅采用高级材质制成，坐着非常舒适，长途驾驶时也不会感到疲劳。,5,对于它的性价比，我给予了非常高的评价，尽管它的售价较高，但它提供的配置和体验绝对物超所值，它拥有豪华SUV的舒适性和高科技配置，综合来看，我认为它的性价比非常出众。,5,最后，我必须提到它的配置，它配备了一系列先进的驾驶辅助系统，如自动驻车和全速自适应巡航等，提升了驾驶的安全性和便捷性，它还配备了全景天窗和哈曼卡顿音响，提供了更好的驾乘体验。,,
https://k.autohome.com.cn/detail/view_01hn2v1ry76ms3gdhr6gsg0000.html#pvareaid=2112108,Martin曹,2024-01-26,5,空间出乎意料的宽敞，孩子和老人很满意，前后排都很自在，毕竟宽度在这,5,极星4的招牌啊，赛道级驾控感觉，给就有，高速过弯和麋鹿很精准,4,北京零下的冬天，加上比较激进的驾驶风格，目前续航还比较满意，而且家里安了电桩，基本没啥焦虑,5,极其抓人眼球，回头率不能说100％也有80％，同事朋友看了都说好,5,作为沃尔沃老车主，内饰一如既往的满意，就喜欢这种简约,5,作为45w时就盲定的车主，感觉目前价格感觉很能打啊，物有所值谁开谁知道,5,智能化足够用，买这个车本就不是冲着冰箱沙发大彩电以及全自动驾驶去的，就是要享受驾驶的乐趣啊，而且作为沃尔沃系，安全配置也不虚。,,
https://k.autohome.com.cn/detail/view_01hmxqdqkh6ms3gd9g70wg0000.html#pvareaid=2112108,狗尾巴也是花j,2024-01-24,5,我这高个子坐车里竟然一点压力都没有，双腿伸展也非常舒服，前后间距宽，头部和腿部空间都充足，后排也是距离前排很宽，上下车方便，一点没有阻碍。,4,这是我第一次体验这种动力这么强悍的车子，刚开始不太习惯哈哈哈，熟悉之后驾驶起来就太爽了。方向盘不重，车子开着起步反应快，制动有明显的拖拽感，车身硬度足，很安全。现在目前还在适应，毕竟车身比较大。,5,车子续航表现和我预期的差不多吧，日常家用妥妥的，充电一点不频繁。官方续航682公里，我一般电量低于50%就会充电，这样出行的时候心里不慌。,4,整个车身看起来太干净了，没有一丁点多余的设计，主打一个极简风，太喜欢了，尤其是低趴的这种风格，看着很稳当，不过感觉21寸的轮毂在这个车身上看着也不算很大。,5,浅色设计，精致做工，高品质用料，极星4内饰挺豪华的。,4,价格上稍微超出了一点预算，不过也是能接受的，尤其现在车子到手后，感觉钱没白花。,5,车机系统操作格外的流畅，再结合车内超棒的氛围感，驾驶乐趣充足。,,
https://k.autohome.com.cn/detail/view_01hpbec59n6ms3jd1n64v00000.html#pvareaid=2112108,小悦悦妈妈,2024-02-11,4,无后挡风玻璃设计，后方横梁往后推了。后排头部空间非常好，而且腿部的坐垫长度刚好合适，后排可以电动调节角度。,5,加速电车就不用说了。刹车的反馈的话很像油车，不会像特斯拉一样顿挫，弯道非常好，轮胎不会打滑。,4,单电机高速可以超过400公里。低速有500公里，这样吧，没有实际测低速。,5,瑞典金的颜色一眼就吸引了我没有犹豫，直接定了这个颜色，而且还专门加了5000块钱。金属漆的。,4,虽然没有特别出彩的一个设计，还有特别奢华的用料，但是官方说是环保材料，气味确实比较小。,3,价格其实是满意的，能有6万的优惠。但其实总体会比一些普通品牌要贵上一点，不过也愿意为他的一个品质买单。,4,魅族车机逻辑，还有无线投屏功能非常不错。目前仪表台偶尔会有bug。,,
https://k.autohome.com.cn/detail/view_01hkvvwtja6ms3ecsk74s00000.html#pvareaid=2112108,农民比啥都好,2024-01-11,5,这几天一直载着家人朋友到处逛，主要还是为了磨合和练车，而且提车之前，朋友就一直唠叨，说提了车一定要让他试一试，所以最近经常和朋友开车到处跑，还让他试驾了一下，朋友对空间的评价非常高，从外面看着车子好像有点矮，但是车里就一点都不矮了，毕竟底盘偏低，空间还是相当充足的。,5,极星4的驾驶我只能说无敌了，这才是真正的享受开车，不得不说这个CDC电磁悬架确实有东西啊，电磁传感灵敏，方向盘实时反馈路面状况，驾驶乐趣丰富，还有那个和宝马一样的50：50轴荷比，提升车身稳定，过弯更快速。,5,现在来说续航感觉没有参考价值啊，主要是这买车才几天时间，磨合得不够，根本说明不了什么东西，等到慢慢磨合好了，电耗自然会更低。,5,我从来都没质疑过极星4的颜值，和朋友谈这辆车的话，也是一直在夸，没办法咱作为外观党，看车的首要条件就是颜值必须高，这低趴式车头设计，精致的做工，可谓是设计到我的心坎上去了，这拉风的设计，越看越完美。,4,一句话形容就是高端大气上档次，越看越有范儿，这豪华科技感拉满的氛围，就是我一直梦寐以求的，氛围灯太漂亮了，就是座椅有点太软，支撑不够。,4,好车确实是好车，但价格不便宜，本来我也准备观望的，但实在是喜欢，没办法直接订车了，现在也不后悔。,5,内置行车记录仪，还有360度全景影像，自动驾驶，远程操控等等，不仅仅是有，而且都特好用，都是一种高端智能配置。,,
https://k.autohome.com.cn/detail/view_01hkv6z7y16ms3echs6gr00000.html#pvareaid=2112108,aj8z9xns2j5,2024-01-11,5,极星4的空间真的特别优秀，我相信不少车友都绝对小瞧了它的空间表现，单纯从尺寸数据和车外的视觉方面是感受不出来的，只有亲身坐在车里体验一遍之后，才能明白空间是多么敞亮，更重要的是，车内空间分配极为合理，大多数储物格容量也较深，实用性杠杠的。,5,这些年咱开过这么多车，各种价位、各种类型的车子基本试驾过，而极星4的驾驶手感在这些车中绝对是数一数二的，不管是动力表现、方向盘手感，还是各种辅助驾驶配置，都近乎完美，我一般还是在市区跑得多，主要是代步使用，不过即便有其它方面的需求，比如长途需求、商务需求等等，我觉得极星4也是够用的。,4,现在冬季续航表现肯定没有其他季节那么给力，气温低对电池多少会存在一些影响，在电量不多的时候，表显续航偶尔不够准确，有时候下降得比较快，不是很稳定，这个跟气温还是有一些关系的。,4,极简风的车身造型确实让人眼前一亮，但是直接取消后车窗的设计，实在是有些大胆了，很多车友估计都不会特别习惯吧，我自己就是这样，总是觉得怪怪的。,4,车内座椅采用的都是大面积的高性能织物用料，柔软舒适，透气性好，包裹性强，但是呢缺少一定的支撑，久坐会有些不适。,5,买车子无须想得太多，在自己力所能及的情况下，选择自己喜欢的就行，这辆极星4就是我看了这么多款车中，最喜欢的那一款，综合实力嘎嘎强，买就完事了。,5,L2级别辅助驾驶，高通骁龙8155芯片确实厉害，车机操控主打一个流畅，这才是真正的智能驾驶体验。,,
https://k.autohome.com.cn/detail/view_01hpxp84nw6ms3jdhk6mt00000.html#pvareaid=2112108,采极星的小姑娘,2024-02-18,5,内部空间属于中型SUV的尺寸，近三米的轴距赶得上一些五米车长的大型车了，坐在后排起码还有两拳多的空间，家用绝对是没问题,5,,4,,5,极星4的外观一眼不是很吸睛，但是属于越看越好看的类型，北欧简约不简单的设计在现在千篇一律的新能源车里还是特别出众的。,5,,5,了解下来，目前车型的优惠在6万左右，还有很多专属售后权益，道路救援和车机流量应该是目前新能源车的标配了。三年免费保养，前三年基本除了充电无费用,4,魅族的系统还是比较新奇的，目前可以用魅族手机投屏到车机上，手机里的APP都可以在车机上使用，如果后续支持很多机型就更好了,,
https://k.autohome.com.cn/detail/view_01hp1esgmf6ms3jcsq60sg0000.html#pvareaid=2112108,赖琪琼,2024-02-07,4,就看这后备箱就可以知道，这车空间嘎嘎大，后排空间也很给力，平时后排坐小孩多，老人也会乘坐，这空间，妥妥可以舒展开来。,4,代步性能的卡钳，只要这一露出来，性能车无疑了。刹车距离，刹车灵敏度，脚感都很好。方向盘很精准，转多少，给多少角度，不会出现虚位现象。,4,宁波最近基本是阴雨天气，气温低，路面湿滑，上车方向盘加热，座椅加热，空调全开，上班来回30km，上班停地面，下班停地库，续航目前打8折。整体满意。,4,这款车颜值可以用刚柔并济来形容，又美又飒，简直是机车界倪妮，第一次看到觉得让人安全感满满，内饰风格沉稳极简，又像一个绅士。,4,我是极简主义，所以不喜欢花哨的内饰，喜欢简约简单的配色和风格。所以这种北欧简约风真的很爱。,4,这样的价格，这样的配置，还要啥自行车，同价位中的天花板了吧，还有别的更好的选择吗？好像很难找出来了。,4,适合女士的流媒体后视镜，人机交互很灵敏，有时候说话含糊，小朋友讲话不清楚都能精准识别，这点必须赞一个。不知道以后讲方言能不能识别出来，下次试试。,,
https://k.autohome.com.cn/detail/view_01hmzvm2j86ms3gd9q6wvg0000.html#pvareaid=2112108,不灭女神h,2024-01-25,5,我这用车都有十来天了，好几个朋友都坐过我的车，反正大家对空间的评价都挺高的，一点都不挤，而且我们都是北方大汉，哈哈哈。我个人是180的身高，买车的时候就很注意这方面，不喜欢太紧凑的，所以像极星4这种大空间很合我胃口。,5,极星4的方向盘设计非常到位，轻重大小都合理，手感不会太轻，也不会太笨重，感觉不错。转向的时候角度不大，挺精准的。,4,对于我这种性子比较急的人来说，充电速度太慢还是有一点不爽的，但是不可否认的是，极星4的续航还是给力的，充满后能开好久。,5,无边框车门、隐藏式门把手、北极星车标等等，都是一些个性时尚的设计，看着很高端。外观做工也精致，喷漆均匀厚实，一看就很高级。,5,车子内饰主要是以科技未来风为主，取消了不少物理按键，简洁又奢华，看着清爽不说，也好清理。新车没有味道，自带空气净化器，贴心得很。,4,车子贵是贵了点，但是绝对值啊，这个配置性能，谁看了会拒绝呢。,5,语音功能真好用，识别又快又准，直接解放双手，实用性拉满了。车内空调也能自动调节温度，5G的网络反应真快，导航的时候说完就蹦出来了，页面清晰度高，看着又大又清楚。,,
https://k.autohome.com.cn/detail/view_01hmkkvqkt6ms3gc9m6mrg0000.html#pvareaid=2112108,芝麻芝麻黑u,2024-01-20,5,极星4的轴距达到了2999mm，车身长宽高分别为4845*1994*1544mm，可以说相当有实力了，家用一点都不用担心。车内确实够宽敞的，不管是头部还是腿部的空间，都不会感觉紧凑。,4,动力强劲，行驶流畅，起步提速都很丝滑，但是呢安全带设计对我来说有一点点紧，不知道能不能调节，打算首保的时候去问问。,5,百公里耗电17个多，冬季有这个续航表现绝对可以了，目前新车电耗还算稳定，也没有特别高。,5,车身造型有个性的地方太多了，一辆落地四十多万的车，造型设计干净整洁，不搞那些花里胡哨的，有特点有辨识度，停在一众车里，老远的我就能看到它，而且回头率也高。,5,座椅设计真好，符合人体工学，兼顾柔软和支撑性，舒适性完美，长时间开车也不会觉着累。车内做工也不错，缝线均匀紧致，我这种强迫症看着很舒服。,5,车子只要自己喜欢那就值了，自己喜欢才是最关键的，所以性价比这方面，我感觉极星4还是挺不错的。,4,以前那辆车语音识别有点迟钝，现在这辆极星4相反，感觉过于灵敏了，其它没啥毛病，整体的智能度还是很高，导航啥的比手机好用多了。,,
https://k.autohome.com.cn/detail/view_01hmkd7z946ms3gc9k6wr00000.html#pvareaid=2112108,疯狂五线谱s,2024-01-20,5,我身高181，媳妇169，两个人都是高个子，乘坐体验相当不错，车内剩余空间仍有不少。平时外出购物相当的方便，尤其现在家里有了小朋友出门打包小包的一堆，往后排一放就行，一点不耽误乘坐。,4,之前一直想要一辆动力强悍的车子，现在如愿以偿了，反而还有点不适应哈哈哈，动力实在是太猛了，起步嗖地一下，我现在都得轻轻踩电门，另外车子开着很稳。,4,个人觉得充电速度似乎不是那么快，不过平时也不着急用车，睡觉的时候及时充好电就行。,5,极星4的造型设计得到了全家人的一致认可，外观超有个性，有一种极简奢华风，爱了爱了。,4,车内也是比较简单的风格，所以取消了很多的实体按键，看着更智能一些，不过我个人的用车习惯，还是比较喜欢那带点机械感的。,5,其实这个配置和性能也算正常，如果预算够的话，我觉得也是一个不错的选择，毕竟后期用车成本就不高了。,5,中控屏幕尺寸真大，一看就是科技感满满，可操作性非常强。不管是倒车或者是侧方停车等等吧，无死角监控，带的自动泊车也好用，真是科技改变生活。,,
https://k.autohome.com.cn/detail/view_01hmjwq7s66ms3gc9h64t00000.html#pvareaid=2112108,背对背的走v,2024-01-20,5,当时一看到极星4的车身尺寸，就知道车内空间肯定不会小，事实也确实如此，坐在车里还是十分敞亮的。前后排都比较富裕，毕竟2999mm的轴距确实挺优秀的，我们一家三口开这车出门都有些浪费空间了。,5,之前试过朋友的车子，开起来没什么感觉，但是极星4就不一样了，驾驶操控非常自在，就像是为我量身打造的一样，很有驾驶趣味。,4,对于一辆刚提不久的新车来说，电耗算是还可以了，但是在外面商业充电有些贵，所以我个人一般都选择在家里充，能省就省。车子的续航目前看来还不错，哪怕这么冷的天气受到的影响不大。,4,提车以来，身边好多朋友都在夸我这辆极星4的颜值，车身风格时尚前卫，气质到位，就是我感觉车漆有那么一点薄，不知道其他车友有没有这感觉啊。,5,大面积真皮加上高性能织物用料，质感就是不一般，一看就很高级，新车也无异味，环保值拉满。,4,车子毫无疑问是好车，买它并不亏，但价格确实有一点点偏贵吧。,5,车机系统比想象中要流畅许多，有骁龙8155芯片加持，智能性更上一个档次。,,
https://k.autohome.com.cn/detail/view_01hmbj3kvc6ms3ee1m60rg0000.html#pvareaid=2112108,天使在昨天o,2024-01-17,5,我这么壮实的身材，在极星4车里竟然半点都不挤，以前也坐过好多人的车子，像极星4这么宽敞的乘坐体验，坐进去真的很自在。另外后备箱也是超大的，开启后感觉能放很多东西。,4,车子开起来真的爽，这才是真正的享受开车啊，丰富的辅助驾驶功能，超强的动力表现，要是安全带略微松弛一点那就更完美。,4,我个人情况是平日里用车一般比较多，所以充电的问题值得重视，感觉充电有一点点慢，不过车子续航还是很准的。,5,极简风格简直就是我的最爱啊，车身设计没有一丁点多余的地方，线条非常流畅，看着就舒服，摸着更是高级，全车360度无死角。,5,有一种轻奢的感觉，搭配上星空个性氛围灯，实在是太棒了，而且设计不繁琐，车内也好清理，极简风的格调我很喜欢。,5,用车个几天就知道买得不亏了，这么棒的性能，这么高的颜值，根本拒绝不了，车子好看好开，价格感觉倒也公道。,5,智能配置十分全面，导航、语音等功能主打一个实用性，空调和音响等配置主打一个高品质，大屏幕触摸细腻流畅，一点不卡顿，实打实的高智能化。,,
